,ID,Event Name,Publication Status 4,Fourth DOI #,Publication Status 5,Fifth DOI #,Publication Status 6,Sixth DOI #,Publication Status 7,Seventh DOI #,Publication Status 8,Eighth DOI #,Publication Status 9,Ninth DOI #,Publication Status 10,Tenth DOI #,Pedal Non-Peer Pubs,Other Accomplishments,Health Benefits,International,National,Local,General Public,Healthcare Professionals,Patients,Patient Families,Health Benefits Description,Policy Influence,International (pol),National (pol),Local (pol),General Public (pol),Healthcare Professionals (pol),Patients (pol),Patient Families (pol),Policy Benefits Description,Economic Benefits,International (econ),National (econ),Local (econ),General Public (econ),Healthcare Professionals (econ),Patients (econ),Patient Families (econ),Economic Benefits Description,Equity Benefits,International (equity),National (equity),Local (equity),General Public (equity),Healthcare Professionals (equity),Patients (equity),Patient Families (equity),Equity Benefits Description,Additional Funding Achieved,First AFS Status,First AFS Name and Project Title,First AFS Amount,Second AFS Status,Second AFS Name and Project Title,Second AFS Amount,Third AFS Status,Third AFS Name and Project Title,Third AGS Amount,Fourth AFS Status,Fourth AFS Name and Project Title,Fourth AFS Amount,Additional Funding Source #5 Agency/Sponsor Name and Project Title,Fifth AFS Status,Fifth AFS Amount,Additional Pedal Funding Impact,Additional Funding Benefits Description,Additional Pedal Funding Impact (clinical stages),Additional Funding Benefits Description (clinical stages),Participated in Pedal,Further Research Contributions,Success Stories,Major Scientific Breakthroughs,Additional Comments,Complete,Publication Status 1,First DOI #,Publication Status 2,Second DOI #,Publication Status 3,Third DOI #
0,3.0,Progress Report #1,,,,,,,,,,,,,,,,,Yes,False,False,False,False,False,True,False,We have identified some genes that are recurrently dysregulated in neuroblastoma and which have decreased expression in stage 4 disease. These genes are potentially novel tumor suppressors and could help open new therapeutic avenues that eventually benefit patients.,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,One,Awarded,NIH R35HG011315 Using genomic perturbations to understand trait-associated human genetic variation,1500000.0,,,,,,,,,,,,,Yes,Additional funding would enable the application of the methods we developed to new datasets as well as the analysis of other types of gene dysregulation (such as altered splicing). ,Yes,"In addition, funding could allow us to do more functional testing of the candidate tumor suppressor genes that we identified.","Yes, I have participated as a rider every year since 2016 (virtual rider last year).",No,No,,,True,Accepted,,,,,
1,4.0,Progress Report #1,,,,,,,,,,,,,,,"     Adam K. Fuhs S, Meisenhelder J,  Lesperance J, Aslanian A, Diedrich J, Moresco J,  La Clair J, Zage P, Yates JR III, Hunter T. A Novel  Role for Histidine Kinase Activity in  Neuroblastoma Pathogenesis. Presented at  the 11th International Congress on  NME/NDPK/NM23/AWD gene family; Annecy,  France, October 2019         Adam K, Fuhs S, Meisenhelder J,  Lesperance J, Aslanian A, Diedrich J, Moresco J,  La Clair J, Zage P, Yates JR III, Hunter T. Chasing  the not so Elusive Histidine Phosphorylation  and Their Signaling in Neuroblastoma.  Presented at the 12th Annual World Protein &  Peptide Conference, Beijing, China, June 2019         Adam K, Fuhs S, Meisenhelder J,  Lesperance J, Aslanian A, Diedrich J, Moresco J,  La Clair J, Zage P, Yates JR III, Hunter T. Chasing  the not so Elusive Histidine Phosphorylation  and Their Signaling in Neuroblastoma.  Presented at the Advances in Biomedical  Research III, Split, Croatia, June 2019         Adam K. et al. ""Histidine kinases and the  missing phosphoproteome from prokaryotes  to eukaryotes."" Presented at the American  Society for Biochemistry and Molecular  Biology annual meeting, San Diego, CA, 2018",,Yes,True,False,False,False,False,False,False,"We expect our results will confirm the critical role of NME1 in neuroblastoma tumor development, growth, and spread and will serve to identify candidate therapeutic targets for currently available drugs as well as for the development of novel histidine kinase inhibitors that are likely to be effective against a wide range of pediatric and adult tumors.  These novel therapies and treatment approaches would serve to improve outcomes for children with neuroblastoma and other solid tumors worldwide.",No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,Five,Awarded,the Hartwell Foundation,300000.0,Awarded,Padres Pedal the Cause,100000.0,Submitted,Pediatric Cancer Research Foundation,750000.0,Submitted,NIH R03CA273629-01,150000.0,Tower Cancer Research Foundation,Submitted,500000.0,Yes,"Additional funding support would allow us to pursue studies to further identify and validate NME1-mediated signaling pathways in neuroblastoma preclinical models, to further pursue the functional significance of NME1 and histidine kinase signaling in pediatric tumor development, growth, and spread, and to identify novel candidate targets for therapies directed against targets of NME1 histidine kinase activity",Yes,"Additional funding support would allow us to pursue screening studies at the Sanford  Burnham Prebys Medical Discovery Institute to identify candidate histidine kinase inhibitors that could be evaluated and developed as candidate therapeutic agents, eventually leading to animal studies and early phase clinical trials to evaluate the safety and efficacy of histidine kinase inhibitors in children with cancer.",I have participated as both a virtual participant and as a participant in spin classes at Petco Park,Yes,No,,Funding from Padres Pedal the Cause has been instrumental in building and maintaining my research laboratory and  scienti#c productivity in San Diego and has  been greatly appreciated!,True,Accepted,,Submitted,,,
2,5.0,Progress Report #1,,,,,,,,,,,,,,,None to date,additional funding provided by Padres Pedal the Cause will allow us to open this clinical trial at additional national sites to increase enrollment and ensure timely study completion,Yes,True,False,False,False,False,False,False,We expect our results will support the use of cabozantinib with 13-cis-retinoic acid as a well-tolerated therapeutic option for all patients with relapsed or refractory neuroblastoma worldwide and lead to additional international clinical trials to evaluate the efficacy of this combination as a component of standard neuroblastoma therapy.,No,False,False,False,False,False,False,False,,Yes,False,True,False,False,False,False,False,"The combination of cabozantinib with 13-cis-retinoic acid as a therapeutic option for patients with relapsed or refractory neuroblastoma represents a lower cost, outpatient therapy to reduce the overall cost of treatment",No,False,False,False,False,False,False,False,,One,Awarded,"Exelixis, Inc.",250000.0,,,,,,,,,,,,,Yes,"Additional funding support would allow us to expand the trial to invite and include additional hospitals to open the study and allow us to increase the expected number of enrolled patients to accrue additional information about the safety and efficacy of this combination, as well as obtaining additional samples for the proposed experimental aims and objectives.",Yes,"Additional funding support would allow us to pursue additional clinical trials to evaluate the safety and efficacy of this combination in patients with neuroblastoma as part of standard therapy as well as clinical trials in children with other types of cancer, leading to expanded indications for use of this combination therapy.",I have participated as both a virtual participant and as a participant in spin classes at Petco Park,Yes,Yes,Yes,Funding from Padres Pedal the Cause has been instrumental in building and maintaining my research laboratory and scientific productivity in San Diego and has been greatly appreciated!,True,Published,,,,,
3,6.0,Progress Report #1,,,,,,,,,,,,,,,,See above in the progress report.,Yes,True,True,False,False,False,True,True,oral cancer prevention in at risk individuals,No,False,False,False,False,False,False,False,,Yes,True,True,False,False,False,True,True,"Oral cancer prevention and the consequent reduction in morbidity, mortality, and patient related costs ",Yes,True,True,False,False,False,True,True,At risk oral cancer patients are often part of a  socioeconomically disadvantaged group,One,Submitted,"NIH R01, will likely be funded soon",2500000.0,,,,,,,,,,,,,Yes,For advancing the planned clinical trial and correlative/mechanistic studies ,Yes,Identification of biomarkers predicting clinical response,Yes,No,No,,Many thanks for all your support!!!,True,In progress,,In progress,,,
4,8.0,Progress Report #1,,,,,,,,,,,,,,,"8.Ghali F, Patel D, Jamieson C, Parsons JK, McKay RR. Characterization of Wnt signaling pathway (WSP) aberrations in advanced prostate cancer. Poster presentation at the Genitourinary Cancers Symposium, San Francisco, CA; February 2020.","2019-present Member, Wnt Signaling in Prostate Cancer Working GroupProstate Cancer Foundation ",Yes,False,False,False,False,False,True,False,Trial is testing a therapeutic combination for men with prostate cancer. ,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,Yes,False,False,False,False,False,True,False,Trial focused on all demographic of prostate cancer with unique look at Hispanic individuals.,One,Awarded,Oncternal ,377000.0,,,,,,,,,,,,,Yes,This is a grass roots project. It is a single arm study looking to investigate a combination strategy in prostate cancer for patients. Additional funding would help support the correlative studies for the trial.,No,,"Yes, runner. ",Yes,No,,,True,,,,,,
5,9.0,Progress Report #1,,,,,,,,,,,,,,,none,none,Yes,True,True,True,True,False,True,False,novel therapy for cancer,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,Yes,True,True,True,True,False,True,False,People from all backgrounds would benefit from this potential therapy.,No additional funding sources,,,,,,,,,,,,,,,,Yes,We could further develop the antibody and optimize it for use in humans.,Yes,Further funding would allow progress towards a clinical trial.,I participated as a rider and a virtual rider in certain years.,No,No,,,True,,,,,,
6,10.0,Progress Report #1,,,,,,,,,,,,,,,,,Yes,False,False,False,True,False,False,False,A platform to develop cell-selective targeting peptides as novel strategies for enhanced therapeutic outcomes and to attenuate systemic drug toxicities.,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,One,Awarded,The Lustgarten Foundation,5000000.0,,,,,,,,,,,,,Yes,Funds would be used for additional in vivo studies including performing a survival study in a PDAC mouse model.,Yes,"Additional funds would support more in vivo studies required advance the concept further to the clinc. These include PK studies, safety, Tox, and proof of principal of the therapeutic advancement over existing free drug version.","yes -  I participate, along with my wife, on the Salk's ride team for Pedal the Cause.  We look forward to the event each year.",No,No,,We are grateful for the support of Padres  Pedal the Cause!,True,In progress,,In progress,,,
7,11.0,Progress Report #1,,,,,,,,,,,,,,,,,Yes,True,False,False,False,False,True,False,GC treatment,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,Yes,True,False,False,False,False,True,True,GC affects certain ethnicities much more than others. Impact of our discoveries are expected to track that. ,One,Awarded,Torey Pines Foundation,1800000.0,,,,,,,,,,,,,Yes,To initiate trials,Yes,Clinical trial initiation at UCSD,donated.,No,No,,,True,In progress,,,,,
8,12.0,Progress Report #1,,,,,,,,,,,,,,,,,Yes,False,False,False,True,False,False,False,Awareness of cellular dependencies downstream of oncogenes. This helps in discussions with patients about the pathways important in cancer. ,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No,False,False,False,False,False,False,False,,No additional funding sources,,,,,,,,,,,,,,,,Yes,We are planning an NCI PO1 submission,Yes,More preclinical optimization of lead compound for possible drug testing.,"yes, virtual rider",No,No,,appreciate of the support to create the necessary data for our PO1 project,True,In progress,,,,,
9,13.0,Progress Report #1,,,,,,,,,,,,,,,,,Yes,False,False,False,True,False,True,False,"Our project seeks to establish new ways to ascertain if a particular immune checkpoint blockade treatment will be effective in treating certain classes of patients.  If successful, we believe that this study can help tailor therapies to individual patients.  It might also give us insights into the reasons some treatments are effective while others aren't.",Yes,False,False,False,True,False,True,False,Our project could improve guidelines as to how patients are treated with immune checkpoint blockade treatment.,Yes,False,False,False,True,False,True,False,,No,False,False,False,False,False,False,False,,No additional funding sources,,,,,,,,,,,,,,,,No,,No,,,No,No,,,True,,,,,,
