,ID,Event Name,Award ID,Project Title,PI Institution,Other Institution,Prevention and diagnostic tools,Novel approaches and new therapeutic platforms,Immunotherapies and personalized vaccines,Addressing cancer disparities,Pediatric cancers,Specific Aims,Aim 1,Aim 2,Aim 3,Aim 4,Aim 5,Aim 6,Public Health Significance,Award Amount,Grant Start Date:,Grant End Date:,Complete,SR - None,SR - Biobehaviorial MCC,SR - Biorepository & Tissue Tech. MCC,SR - Biostatistics MCC,SR - Clinical Trials Office MCC,SR - Flow Cytometry MCC,SR - Genomics & Computational Bio. MCC,SR - In Vivo Imaging MCC,SR - Microscopy MCC,SR - Radiation Medicine MCC,SR - Transgenic Mouse MCC,SR - Gene Transfer/Targeting/Therap Salk,SR - Transgenic Salk,SR - Mass Spect - Proteom/Metabol Salk,SR - Chemical Library Screening SBPMDI,SR - Functional Genomics SBPMDI,Cancer Metabolism SBPMDI,"Pedal Importance (recruitment, retention, advancement)","If yes, please specify","If no, please specify",Clinical Trials Resulted,First Clinical Trial,First Clinical Trial Patient Count,Second Clinical Trial,Second Clinical Trial Patient Count,Companies Founded,Patents Filed,Patent Details,Peer-Reviewed Publications Count
0,52.0,Initial,52.1,Discovery of non-coding oncogenic mutations in pediatric acute lymphoblastic leukemia using ATAC-seq and Hi-C,Salk Institute,,False,False,False,False,True,Two Specific Aims,Discover non-coding regulatory mutations in ALL tumors using ATAC-seq.,Discover large-scale structural mutations and disrupted TAD boundaries using Hi-C.,,,,,"Acute Lymphoblastic Leukemia (ALL) is the most common form of cancer in children. Studies of ALL tumors have led to improved therapies, and increased long-term survival rates in children from ~58% in the 1970s to over 90% today. Yet 10-20% of ALL patients relapse following their initial treatment, and these patients have a  grim prognosis with survival rates between 21% and 53%. Therefore, there is a need for improved therapies stemming from a better understanding of the molecular events that promote ALL progression and relapse. We hypothesize that some genetic mutations that are important for ALL onset and relapse have remained  undiscovered because they are located in parts of the genome that are difficult to study. Specifically, most studies have focused on mutations that directly affect protein-coding genes, rather than ""non-coding regulatory"" mutations that affect which genes are expressed. We propose to develop new approaches to  identify non-coding mutations in ALL tumors. The basis for our approach is computational analysis of data from new methods (known as ATAC-seq and Hi-C) that provide information about the location and 3D organization of non-coding regulatory sequences in the genome. We will perform ATAC-seq and Hi-C experiments on 20 ALL tumor samples from patients at Rady Children's Hospital-San Diego and use the resulting data to identify non-coding regulatory mutations. Any non-coding regulatory mutations that we discover will help illuminate the  molecular causes of ALL onset and relapse, and could eventually lead to improvements in targeted therapy. ",75000.0,2017-06-01,2018-05-31,Complete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Yes,The funding for this project and the data generated by this project have allowed research to be conducted by an undergraduate (Arya Massarat) and a postdoctoral scholar (Arko Sen) in my laboratory.,,0.0,,,,,None,No,,Two
1,131.0,Initial,52.2,Discovery of non-coding oncogenic mutations in pediatric acute lymphoblastic leukemia using ATAC-seq and Hi-C,Salk Institute,,False,False,False,False,True,Two Specific Aims,Discover non-coding regulatory mutations in ALL tumors using ATAC-seq.,Discover large-scale structural mutations and disrupted TAD boundaries using Hi-C.,,,,,"Acute Lymphoblastic Leukemia (ALL) is the most common form of cancer in children. Studies of ALL tumors have led to improved therapies, and increased long-term survival rates in children from ~58% in the 1970s to over 90% today. Yet 10-20% of ALL patients relapse following their initial treatment, and these patients have a grim prognosis with survival rates between 21% and 53%. Therefore, there is a need for improved therapies stemming from a better understanding of the molecular events that promote ALL progression and relapse. We hypothesize that some genetic mutations that are important for ALL onset and relapse have remained undiscovered because they are located in parts of the genome that are difficult to study. Specifically, most studies have focused on mutations that directly affect protein-coding genes, rather than ""non-coding regulatory"" mutations that affect which genes are expressed. We propose to develop new approaches to identify non-coding mutations in ALL tumors. The basis for our approach is computational analysis of data from new methods (known as ATAC-seq and Hi-C) that provide information about the location and 3D organization of non-coding regulatory sequences in the genome. We will perform ATAC-seq and Hi-C experiments on 20 ALL tumor samples from patients at Rady Children's Hospital-San Diego and use the resulting data to identify non-coding regulatory mutations. Any non-coding regulatory mutations that we discover will help illuminate the molecular causes of ALL onset and relapse, and could eventually lead to improvements in targeted therapy.",75000.0,2017-06-01,2018-05-31,Complete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Obtaining funding is important for career advancement.,,0.0,,,,,None,No,,One
2,132.0,Initial,52.3,Discovery of non-coding oncogenic mutations in pediatric acute lymphoblastic leukemia using ATAC-seq and Hi-C,Rady Children's,,False,False,False,False,True,Two Specific Aims,Discover non-coding regulatory mutations in ALL tumors using ATAC-seq.,Discover large-scale structural mutations and disrupted TAD boundaries using Hi-C.,,,,,"Acute Lymphoblastic Leukemia (ALL) is the most common form of cancer in children. Studies of ALL tumors have led to improved therapies, and increased long-term survival rates in children from ~58% in the 1970s to over 90% today. Yet 10-20% of ALL patients relapse following their initial treatment, and these patients have a grim prognosis with survival rates between 21% and 53%. Therefore, there is a need for improved therapies stemming from a better understanding of the molecular events that promote ALL progression and relapse. We hypothesize that some genetic mutations that are important for ALL onset and relapse have remained undiscovered because they are located in parts of the genome that are difficult to study. Specifically, most studies have focused on mutations that directly affect protein-coding genes, rather than ""non-coding regulatory"" mutations that affect which genes are expressed. We propose to develop new approaches to identify non-coding mutations in ALL tumors. The basis for our approach is computational analysis of data from new methods (known as ATAC-seq and Hi-C) that provide information about the location and 3D organization of non-coding regulatory sequences in the genome. We will perform ATAC-seq and Hi-C experiments on 20 ALL tumor samples from patients at Rady Children's Hospital-San Diego and use the resulting data to identify non-coding regulatory mutations. Any non-coding regulatory mutations that we discover will help illuminate the molecular causes of ALL onset and relapse, and could eventually lead to improvements in targeted therapy.",75000.0,2017-06-01,2018-05-31,Complete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Yes,"Funding for this project enhanced innovative collaborative work between me and our co-investigators at the Salk Institute, Graham McVicker and Jesse Dixon.",,0.0,,,,,None,No,,Two
3,200.0,Initial,200.1,Discovery of non-coding oncogenic mutations in pediatric acute lymphoblastic leukemia using ATAC-seq and Hi-C,Salk Institute,,False,False,False,False,True,Two Specific Aims,Discover non-coding regulatory mutations in ALL tumors using ATAC-seq.,Discover large-scale structural mutations and disrupted TAD boundaries using Hi-C.,,,,,"Acute Lymphoblastic Leukemia (ALL) is the most common form of cancer in children. Studies of ALL tumors have led to improved therapies, and increased long-term survival rates in children from ~58% in the 1970s to over 90% today. Yet 10-20% of ALL patients relapse following their initial treatment, and these patients have a  grim prognosis with survival rates between 21% and 53%. Therefore, there is a need for improved therapies stemming from a better understanding of the molecular events that promote ALL progression and relapse. We hypothesize that some genetic mutations that are important for ALL onset and relapse have remained undiscovered because they are located in parts of the genome that are difficult to study. Specifically, most studies have focused on mutations that directly affect protein-coding genes, rather than ""non-coding regulatory"" mutations that affect which genes are expressed. We propose to develop new approaches to  identify non-coding mutations in ALL tumors. The basis for our approach is computational analysis of data from new methods (known as ATAC-seq and Hi-C) that provide information about the location and 3D organization  of non-coding regulatory sequences in the genome. We will perform ATAC-seq and Hi-C experiments on 20 ALL tumor samples from patients at Rady Children's Hospital-San Diego and use the resulting data to identify  non-coding regulatory mutations. Any non-coding regulatory mutations that we discover will help illuminate the molecular causes of ALL onset and relapse, and could eventually lead to improvements in targeted therapy. ",75000.0,2017-06-01,2018-05-31,Complete,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
4,201.0,Initial,200.2,Discovery of non-coding oncogenic mutations in pediatric acute lymphoblastic leukemia using ATAC-seq and Hi-C,Salk Institute,,False,False,False,False,True,Two Specific Aims,Discover non-coding regulatory mutations in ALL tumors using ATAC-seq.,Discover large-scale structural mutations and disrupted TAD boundaries using Hi-C.,,,,,"Acute Lymphoblastic Leukemia (ALL) is the most common form of cancer in children. Studies of ALL tumors have led to improved therapies, and increased long-term survival rates in children from ~58% in the 1970s to over 90% today. Yet 10-20% of ALL patients relapse following their initial treatment, and these patients have a  grim prognosis with survival rates between 21% and 53%. Therefore, there is a need for improved therapies stemming from a better understanding of the molecular events that promote ALL progression and relapse. We hypothesize that some genetic mutations that are important for ALL onset and relapse have remained  undiscovered because they are located in parts of the genome that are difficult to study. Specifically, most studies have focused on mutations that directly affect protein-coding genes, rather than ""non-coding  regulatory"" mutations that affect which genes are expressed. We propose to develop new approaches to identify non-coding mutations in ALL tumors. The basis for our approach is computational analysis of data from  new methods (known as ATAC-seq and Hi-C) that provide information about the location and 3D organization of non-coding regulatory sequences in the genome. We will perform ATAC-seq and Hi-C experiments on 20 ALL tumor samples from patients at Rady Children's Hospital-San Diego and use the resulting data to identify  non-coding regulatory mutations. Any non-coding regulatory mutations that we discover will help illuminate the molecular causes of ALL onset and relapse, and could eventually lead to improvements in targeted therapy. ",75000.0,2017-06-01,2018-05-31,Complete,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
5,202.0,Initial,200.3,Discovery of non-coding oncogenic mutations in pediatric acute lymphoblastic leukemia using ATAC-seq and Hi-C,Rady Children's,,False,False,False,False,True,Two Specific Aims,Discover non-coding regulatory mutations in ALL tumors using ATAC-seq.,Discover large-scale structural mutations and disrupted TAD boundaries using Hi-C.,,,,,"Acute Lymphoblastic Leukemia (ALL) is the most common form of cancer in children. Studies of ALL tumors have led to improved therapies, and increased long-term survival rates in children from ~58% in the 1970s to over 90% today. Yet 10-20% of ALL patients relapse following their initial treatment, and these patients have a  grim prognosis with survival rates between 21% and 53%. Therefore, there is a need for improved therapies stemming from a better understanding of the molecular events that promote ALL progression and relapse. We hypothesize that some genetic mutations that are important for ALL onset and relapse have remained  undiscovered because they are located in parts of the genome that are difficult to study. Specifically, most studies have focused on mutations that directly affect protein-coding genes, rather than ""non-coding  regulatory"" mutations that affect which genes are expressed. We propose to develop new approaches to identify non-coding mutations in ALL tumors. The basis for our approach is computational analysis of data from  new methods (known as ATAC-seq and Hi-C) that provide information about the location and 3D organization of non-coding regulatory sequences in the genome. We will perform ATAC-seq and Hi-C experiments on 20 ALL tumor samples from patients at Rady Children's Hospital-San Diego and use the resulting data to identify  non-coding regulatory mutations. Any non-coding regulatory mutations that we discover will help illuminate the molecular causes of ALL onset and relapse, and could eventually lead to improvements in targeted therapy. ",75000.0,2017-06-01,2018-05-31,Complete,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
6,44.0,Initial,44.1,Irreversible electroporation as an In Situ vaccine for pancreatic cancer,Moores Cancer Center,,False,False,True,False,False,Three Specific Aims,To determine whether IRE induces neoantigen-specific T cell responses.,To examine the effects of IRE on the tumor microenvironment (TME). ,To augment IRE-induced tumor-specific T-cell responses through overcoming inhibitory pathways. ,,,,"Approximately 40,000 people are diagnosed with pancreatic cancer each year in this country.  Unfortunately, most patients-even those with tumors that appear localized on imaging-will  eventually develop distant metastatic disease. The goal of immunotherapy is to utilize the patient's immune system to reject the invading ""foreign"" tumor like an infection. ""In situ vaccination"" refers to approaches in which the tumor is made to appear more foreign to generate immune responses against it. Electroporation is a common laboratory technique in which electrical voltage is applied to cells to make holes for intracellular delivery of DNA and RNA. Irreversible electroporation (IRE) is a technique now being used clinically for localized tumors that cannot be removed surgically (locally advanced tumors). Our hypothesis is that IRE stimulates immunes responses to tumor cells and that we can augment immune responses to IRE with immunotherapy. We will use mouse models of pancreatic cancer to evaluate the effects of IRE on the immune system. We will evaluate the combination of IRE with immunotherapy drugs that are already available as well as novel agents in development. We envision that this approach will increase the proportion of patients with localized disease who are cured. Since we have already started a clinical IRE program at UCSD, a clinical trial in which an immunotherapy drug is given during or after IRE as adjuvant therapy would likely be feasible within 2-3 years. ",75000.0,2017-06-01,2018-05-31,Complete,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Yes,"These pilot projects were critical for generating the preliminary data that led to my first R01 funding.  In part due to this milestone, I was elected president of the Society of University Surgeons.  It has led to my inclusion as PI on one of the main projects for a SPORE submission and new collaborations that will likely lead to other funding and publications. ",,0.0,,,,,None,No,,Two
7,121.0,Initial,44.2,Irreversible electroporation as an In Situ vaccine for pancreatic cancer,LJI,,False,False,True,False,False,Three Specific Aims,To determine whether IRE induces neoantigen-specific T cell responses.,To examine the effects of IRE on the tumor microenvironment (TME).,To augment IRE-induced tumor-specific T-cell responses through overcoming inhibitory pathways.,,,,"Approximately 40,000 people are diagnosed with pancreatic cancer each year in this country. Unfortunately, most patients-even those with tumors that appear localized on imaging-will eventually develop distant metastatic disease. The goal of immunotherapy is to utilize the patient's immune system to reject the invading ""foreign"" tumor like an infection. ""In situ vaccination"" refers to approaches in which the tumor is made to appear more foreign to generate immune responses against it. Electroporation is a common laboratory technique in which electrical voltage is applied to cells to make holes for intracellular delivery of DNA and RNA. Irreversible electroporation (IRE) is a technique now being used clinically for localized tumors that cannot be removed surgically (locally advanced tumors). Our hypothesis is that IRE stimulates immunes responses to tumor cells and that we can augment immune responses to IRE with immunotherapy. We will use mouse models of pancreatic cancer to evaluate the effects of IRE on the immune system. We will evaluate the combination of IRE with immunotherapy drugs that are already available as well as novel agents in development. We envision that this approach will increase the proportion of patients with localized disease who are cured. Since we have already started a clinical IRE program at UCSD, a clinical trial in which an immunotherapy drug is given during or after IRE as adjuvant therapy would likely be feasible within 2-3 years.",75000.0,2017-06-01,2018-05-31,Complete,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,Yes,"Pedal the Cause funding enabled me to participate in an area of experimental therapeutic intervention that I otherwise would not have, and allowed me to bring my lab's expertise to UCSD faculty scientist who could benefit from our clear synergies.",,0.0,,,,,No,No,,Two
8,122.0,Initial,44.3,Irreversible electroporation as an In Situ vaccine for pancreatic cancer,Moores Cancer Center,,False,False,True,False,False,Three Specific Aims,To determine whether IRE induces neoantigen-specific T cell responses.,To examine the effects of IRE on the tumor microenvironment (TME).,To augment IRE-induced tumor-specific T-cell responses through overcoming inhibitory pathways.,,,,"Approximately 40,000 people are diagnosed with pancreatic cancer each year in this country. Unfortunately, most patients-even those with tumors that appear localized on imaging-will eventually develop distant metastatic disease. The goal of immunotherapy is to utilize the patient's immune system to reject the invading ""foreign"" tumor like an infection. ""In situ vaccination"" refers to approaches in which the tumor is made to appear more foreign to generate immune responses against it. Electroporation is a common laboratory technique in which electrical voltage is applied to cells to make holes for intracellular delivery of DNA and RNA. Irreversible electroporation (IRE) is a technique now being used clinically for localized tumors that cannot be removed surgically (locally advanced tumors). Our hypothesis is that IRE stimulates immunes responses to tumor cells and that we can augment immune responses to IRE with immunotherapy. We will use mouse models of pancreatic cancer to evaluate the effects of IRE on the immune system. We will evaluate the combination of IRE with immunotherapy drugs that are already available as well as novel agents in development. We envision that this approach will increase the proportion of patients with localized disease who are cured. Since we have already started a clinical IRE program at UCSD, a clinical trial in which an immunotherapy drug is given during or after IRE as adjuvant therapy would likely be feasible within 2-3 years.",75000.0,2017-06-01,2018-05-31,Complete,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
9,182.0,Initial,182.1,Irreversible electroporation as an In Situ vaccine for pancreatic cancer,UCSD - not a member of Moores Cancer Center,,False,False,True,False,False,Three Specific Aims,To determine whether IRE induces neoantigen-specific T cell responses.,To examine the effects of IRE on the tumor microenvironment (TME).,To augment IRE-induced tumor-specific T-cell responses through overcoming inhibitory pathways.,,,,"Approximately 40,000 people are diagnosed with pancreatic cancer each year in this country.  Unfortunately, most patients-even those with tumors that appear localized on imaging-will  eventually develop distant metastatic disease. The goal of immunotherapy is to utilize the patient's  immune system to reject the invading ""foreign"" tumor like an infection. ""In situ vaccination"" refers to approaches in which the tumor is made to appear more foreign to generate immune responses against it. Electroporation is a common laboratory technique in which electrical voltage is applied to cells to make holes for intracellular delivery of DNA and RNA. Irreversible electroporation (IRE) is a  technique now being used clinically for localized tumors that cannot be removed surgically (locally  advanced tumors). Our hypothesis is that IRE stimulates immunes responses to tumor cells and that we can augment immune responses to IRE with immunotherapy. We will use mouse models of pancreatic cancer to evaluate the effects of IRE on the immune system. We will evaluate the combination of IRE with immunotherapy drugs that are already available as well as novel agents in development. We envision that this approach will increase the proportion of patients with localized disease who are cured. Since we have already started a clinical IRE program at UCSD, a clinical trial in which an immunotherapy drug is given during or after IRE as adjuvant therapy would likely be feasible within 2-3 years.",75000.0,2017-06-01,2018-05-31,Complete,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
