Project Title,start,Award Amount,pandemic_label
A National Phase I Study of Cabozantinib in Combination with 13-cis-Retinoic Acid in Children with Relapsed or Refractory Solid Tumors,2020-12-01,200000.0,before peak
A Novel Role for Histidine Kinase Activity in Neuroblastoma Pathogenesis,2018-06-01,100000.0,before peak
"A Phase 1B, Nonrandomized Trial Investigating Docetaxel Combined with Cirmtuzumab in Patients with Metastatic Castration Resistant Prostate Cancer",2020-01-01,150000.0,before peak
A Phase 1b Safety and Feasibility Study of Personalized Immunotherapy in Adults with Advanced Cancers,2019-01-01,150000.0,before peak
"A Phase 1b pilot clinical trial of cirmtuzumab, an anti-ROR1 monoclonal antibody, in combination with paclitaxel for the treatment of patients with metastatic, or locally advanced, unresectable breast cancer",2019-01-01,300000.0,before peak
A pilot trial to test the benefit of real time drug screening to determine individualized treatment plans for children and young adults with relapsed or refractory medulloblastoma,2020-07-01,100000.0,before peak
"An Open-Label, Phase 2 Efficacy Study of Temozolomide (TMZ) In Advanced Succinate Dehydrogenase (SDH)-Mutant/Deficient Gastrointestinal Stromal Tumor (GIST)",2019-01-01,300000.0,before peak
An over-expressed GPCR in pancreatic cancer associated fibroblasts as a novel therapeutic target,2017-05-01,75000.0,before peak
Applying p38 MAPK inhibitors to tackle breast cancer metastasis,2014-08-01,75000.0,before peak
Characterization of a GOLPH3 Pathway Inhibitor to Enable a Hit-to-Lead Grant to Develop a Novel Cancer Therapeutic,2019-07-01,125000.0,before peak
Cytotoxic Breast Cancer Treatment Effects on Aging,2015-05-01,75000.0,before peak
Deciphering the role of RNA editing in leukemia stem cell generation and pediatric acute leukemia relapse,2017-06-01,75000.0,before peak
Decoding Colon Cancers Using Boolean Principles,2017-06-01,75000.0,before peak
Defining the mechanisms of pancreatic cancer susceptibility in patient-derived organoid models,2020-07-01,125000.0,before peak
Demonstrating the Clinical Utility of Whole Exome Sequencing for Cancer Patients,2014-05-01,18288.0,before peak
Detecting Correlates of Vaccine Responses in Allogeneic Hematopoietic Stem Cell Transplant Recipients ,2016-05-01,74999.51,before peak
